2025-05-21T10:13:52.392139+0300 | INFO | Bot started
2025-05-21T10:14:02.122616+0300 | INFO | User 1337142737 started the bot
2025-05-21T10:14:06.512584+0300 | INFO | User 1337142737 opened calendar
2025-05-21T10:14:14.558183+0300 | INFO | User 1337142737 opened calendar
2025-05-21T10:14:31.594324+0300 | WARNING | Bot stopped
2025-05-21T10:14:31.841695+0300 | INFO | Bot stopped by user
2025-05-21T10:15:26.223181+0300 | INFO | Bot started
2025-05-21T10:15:29.347035+0300 | INFO | User 1337142737 started the bot
2025-05-21T10:15:31.168934+0300 | INFO | User 1337142737 opened calendar
2025-05-21T10:20:31.977474+0300 | WARNING | Bot stopped
2025-05-21T10:20:32.249584+0300 | INFO | Bot stopped by user
2025-05-21T10:20:37.297979+0300 | INFO | Bot started
2025-05-21T10:20:43.682006+0300 | INFO | User 1337142737 started the bot
2025-05-21T10:20:45.311371+0300 | INFO | User 1337142737 opened calendar
2025-05-21T10:53:48.020554+0300 | WARNING | Bot stopped
2025-05-21T10:53:48.282168+0300 | INFO | Bot stopped by user
